,index,brand,colors,name,prices.isSale,MedianPrice
0,30,New Balance,Blue,New Balance Pace Women D Round Toe Synthetic Blue Running Shoe,TRUE,42.99
2,34,Nine West,Red,Nine West Breeze Women  Open Toe Canvas  Wedge Sandal,TRUE,13.99
3,35,Nine West,Red,Nine West Breeze Women  Open Toe Canvas  Wedge Sandal,TRUE,8.99
4,36,Nine West,Red,Nine West Breeze Women  Open Toe Canvas  Wedge Sandal,FALSE,89.0
5,43,Easy Spirit,Red,Easy Spirit Abide Women  Moc Toe Patent Leather Red Loafer,FALSE,70.0
6,44,Easy Spirit,Red,Easy Spirit Abide Women  Moc Toe Patent Leather Red Loafer,TRUE,15.99
7,74,Unique Bargains,Black,Unique Bargains Women's Peep Toe Slip On Stacked Heel Slingback Mules Black (size 8.5),TRUE,34.79
8,75,Unique Bargains,Black,Unique Bargains Women's Peep Toe Slip On Stacked Heel Slingback Mules Black (size 8.5),FALSE,69.99
9,134,Nike,Blue,620415 483 New Womens Nike Pro Hyperwarm Infinity Training Shirt Size Small,FALSE,9.5
10,135,Nike,Blue,620415 483 New Womens Nike Pro Hyperwarm Infinity Training Shirt Size Small,FALSE,15.5
11,136,Nike,Blue,620415 483 New Womens Nike Pro Hyperwarm Infinity Training Shirt Size Small,FALSE,31.95
12,192,MUK LUKS,Black,Muk Luks Womens Jane Suede Moccasin,TRUE,44.94
13,193,MUK LUKS,Black,Muk Luks Womens Jane Suede Moccasin,FALSE,47.0
14,194,MUK LUKS,Black,Muk Luks Womens Jane Suede Moccasin,TRUE,35.6
15,195,MUK LUKS,Black,Muk Luks Womens Jane Suede Moccasin,FALSE,49.99
16,196,MUK LUKS,Black,Muk Luks Womens Jane Suede Moccasin,TRUE,38.78
17,426,Style & Co.,Beige,Style & Co Vern   Open Toe Synthetic  Wedge Sandal,FALSE,19.99
24,457,Nike,Black,Nike Flyknit Lunar 3 Women  Round Toe Synthetic Black Running Shoe,TRUE,94.99
25,495,Unique Bargains,Beige,Unique Bargains Women's Pointed Toe Color Block Open Sides Ankle Strap Flats Beige (size 8.5),FALSE,29.4
27,515,Vince Camuto,Brown,Vince Camuto Parka   Round Toe Suede  Ankle Boot,TRUE,58.99
28,574,Reebok,Black,Reebok Work N Cushion Kc Women  Round Toe Leather Black Sneakers,FALSE,60.0
29,575,Reebok,Black,Reebok Work N Cushion Kc Women  Round Toe Leather Black Sneakers,TRUE,26.99
31,652,Marc Fisher,Black,Marc Fisher Cahoot Women  Pointed Toe Suede Black Ankle Boot,TRUE,18.99
32,724,Easy Spirit,Beige,Easy Spirit Jarada   Round Toe Synthetic  Knee High Boot,TRUE,44.99
34,917,Le Suit,Black,New Le Suit Women's Casual Black Textured Skirt Suit Sz 16p $200,FALSE,59.99
35,965,MUK LUKS,Brown,Muk Luks �� Speckled Melana Boot Brown,TRUE,34.99
36,966,MUK LUKS,Brown,Muk Luks �� Speckled Melana Boot Brown,FALSE,29.99
37,967,MUK LUKS,Brown,Muk Luks �� Speckled Melana Boot Brown,FALSE,65.0
38,968,MUK LUKS,Brown,Muk Luks �� Speckled Melana Boot Brown,TRUE,29.99
40,1024,Vince Camuto,Brown,Womens Vince Camuto Federa Cutout Ankle Booties - Warm Steel,TRUE,78.0
41,1076,VANS,Red,Vans Classic Slip-on Mule   Round Toe Leather  Mules,TRUE,47.99
42,1077,VANS,Red,Vans Classic Slip-on Mule   Round Toe Leather  Mules,FALSE,60.0
43,1084,ELLIE SHOES,Black,Womens Victorian Elizabeth Black Costume Boots,FALSE,64.0
44,1085,ELLIE SHOES,Black,Womens Victorian Elizabeth Black Costume Boots,TRUE,45.96
45,1086,ELLIE SHOES,Black,Womens Victorian Elizabeth Black Costume Boots,TRUE,39.71
47,1143,Style & Co.,Black,Style & Co Pacina   Open Toe Canvas  Sandals,TRUE,8.99
48,1144,Style & Co.,Black,Style & Co Pacina   Open Toe Canvas  Sandals,FALSE,65.0
49,1145,Style & Co.,Black,Style & Co Pacina   Open Toe Canvas  Sandals,TRUE,25.99
50,1268,Style & Co.,White,Style & Co Maisyy   Pointed Toe Synthetic  Heels,FALSE,69.0
51,1269,Style & Co.,White,Style & Co Maisyy   Pointed Toe Synthetic  Heels,TRUE,32.98
52,1270,Style & Co.,White,Style & Co Maisyy   Pointed Toe Synthetic  Heels,TRUE,20.99
53,1324,Unique Bargains,Brown,Unique Bargains Women's Peep Toe High Heel Crisscross Straps Platform Sandals Brown (size 7),FALSE,72.99
54,1325,Unique Bargains,Brown,Unique Bargains Women's Peep Toe High Heel Crisscross Straps Platform Sandals Brown (size 7),TRUE,36.41
55,1327,Reebok,White,Reebok Royal Lumina Women Us 9 White Walking Shoe Uk 6.5 Pre Owned 1650,FALSE,12.99
56,1350,Unique Bargains,Black,Woman Black Plastic Hook End Adjustable Elastic Bra Shoulder Straps Bands 6pcs,TRUE,7.53
57,1351,Unique Bargains,Black,Woman Black Plastic Hook End Adjustable Elastic Bra Shoulder Straps Bands 6pcs,FALSE,15.99
58,1384,ELLIE SHOES,Black,6'' Heel Fetish Pump Shoe,FALSE,47.8
60,1408,New Balance,Black,New Balance 1105 Black Toning Womens Shoes Size,TRUE,59.95
61,1476,Vince Camuto,Brown,Vince Camuto Dyani   Round Toe Synthetic  Knee High Boot,FALSE,68.99
62,1494,Alfani,White,Alfani Jeules Women  Pointed Toe Synthetic White Heels,FALSE,60.0
